T,2020-07-31 15:44:04.999,56.92072215,24.09827445,4,44.326,,1.429,57,30,31,,
T,2020-07-31 15:44:05.999,56.92073121,24.09830458,4,43.386,,1.455,49,30,30,,
T,2020-07-31 15:44:06.999,56.92073439,24.09833173,4,43.299,,1.461,59,31,31,,
T,2020-07-31 15:44:07.999,56.92074568,24.09835252,4,43.459,,1.463,56,30,30,,
T,2020-07-31 15:44:08.999,56.92075488,24.09837410,4,43.422,,1.463,56,30,30,,
T,2020-07-31 15:44:09.999,56.92076129,24.09839805,4,43.376,,1.467,63,30,31,,
T,2020-07-31 15:44:10.999,56.92076856,24.09842232,3,43.359,,1.459,59,30,30,,
T,2020-07-31 15:44:11.999,56.92077575,24.09844097,3,43.181,,1.447,61,30,31,,
T,2020-07-31 15:44:12.999,56.92077751,24.09846078,4,43.192,,1.446,63,29,29,,
T,2020-07-31 15:44:13.999,56.92078193,24.09848645,4,43.444,,1.453,61,29,30,,
T,2020-07-31 15:44:14.999,56.92078859,24.09851099,4,43.516,,1.452,57,29,30,,
T,2020-07-31 15:44:15.999,56.92079539,24.09852936,4,43.271,,1.449,56,30,31,,
T,2020-07-31 15:44:16.999,56.92080171,24.09855295,4,43.150,,1.447,60,31,31,,
T,2020-07-31 15:44:17.999,56.92080809,24.09857463,4,43.233,,1.436,59,30,30,,
T,2020-07-31 15:44:18.999,56.92081380,24.09859455,4,43.144,,1.420,58,29,30,,
S,This is text for switch test
T,2020-07-31 15:44:19.999,56.92082090,24.09861651,4,42.982,,1.409,59,30,31,,
T,2020-07-31 15:44:20.999,56.92082498,24.09863643,4,42.932,,1.402,57,31,32,,
T,2020-07-31 15:44:21.999,56.92083094,24.09865933,4,42.737,,1.393,58,30,31,,
T,2020-07-31 15:44:22.999,56.92083650,24.09868491,4,42.509,,1.385,62,29,30,,
T,2020-07-31 15:44:23.999,56.92084150,24.09870932,4,42.424,,1.387,62,30,31,,
T,2020-07-31 15:44:24.999,56.92084847,24.09873569,4,42.590,,1.395,61,29,29,,
T,2020-07-31 15:44:25.999,56.92085903,24.09875596,4,42.191,,1.406,58,29,29,,
T,2020-07-31 15:44:26.999,56.92086889,24.09878198,4,42.294,,1.412,59,31,32,,
T,2020-07-31 15:44:27.999,56.92087408,24.09880783,4,42.229,,1.423,61,28,30,,
T,2020-07-31 15:44:28.999,56.92087839,24.09883397,4,42.088,,1.431,59,31,31,,
T,2020-07-31 15:44:29.999,56.92088167,24.09885837,4,42.268,,1.436,61,30,30,,
T,2020-07-31 15:44:30.999,56.92088426,24.09888066,4,42.267,,1.443,70,31,32,,
T,2020-07-31 15:44:31.999,56.92088908,24.09889855,4,42.285,,1.456,71,32,32,,
T,2020-07-31 15:44:32.999,56.92089130,24.09892661,4,42.266,,1.453,70,29,30,,
T,2020-07-31 15:44:33.999,56.92089528,24.09895169,4,42.280,,1.448,72,29,31,,
T,2020-07-31 15:44:34.999,56.92089896,24.09897356,4,42.365,,1.453,73,30,31,,
T,2020-07-31 15:44:35.999,56.92090911,24.09899767,4,42.039,,1.456,59,32,32,,
T,2020-07-31 15:44:36.999,56.92091845,24.09902037,3,41.960,,1.454,61,32,32,,
T,2020-07-31 15:44:37.999,56.92092391,24.09904127,3,41.765,,1.454,64,30,30,,
T,2020-07-31 15:44:38.999,56.92093337,24.09906275,3,41.865,,1.455,62,31,32,,
T,2020-07-31 15:44:39.999,56.92093880,24.09908463,3,41.661,,1.456,69,30,31,,
T,2020-07-31 15:44:40.999,56.92094443,24.09910780,2,41.703,,1.466,69,32,32,,
T,2020-07-31 15:44:41.999,56.92094909,24.09913350,2,41.630,,1.474,67,30,31,,
T,2020-07-31 15:44:42.999,56.92095398,24.09915510,2,41.444,,1.473,67,31,31,,
T,2020-07-31 15:44:43.999,56.92096299,24.09917639,2,41.426,,1.477,65,31,31,,
T,2020-07-31 15:44:44.999,56.92096987,24.09919733,3,41.423,,1.475,60,30,30,,
T,2020-07-31 15:44:45.999,56.92097716,24.09921387,3,41.611,,1.474,59,29,29,,
T,2020-07-31 15:44:46.999,56.92098477,24.09923485,3,41.657,,1.474,66,30,31,,
T,2020-07-31 15:44:47.999,56.92099135,24.09925727,3,41.632,,1.478,65,30,30,,
T,2020-07-31 15:44:48.999,56.92099819,24.09927837,3,41.257,,1.483,61,30,30,,
T,2020-07-31 15:44:49.999,56.92100158,24.09930625,3,41.483,,1.485,74,29,29,,
T,2020-07-31 15:44:50.999,56.92100504,24.09932901,3,41.418,,1.485,72,30,30,,
T,2020-07-31 15:44:51.999,56.92100963,24.09935040,3,41.517,,1.494,66,29,31,,
T,2020-07-31 15:44:52.999,56.92101539,24.09937263,4,41.346,,1.485,65,29,29,,
T,2020-07-31 15:44:53.999,56.92102452,24.09939527,4,41.292,,1.482,62,30,30,,
T,2020-07-31 15:44:54.999,56.92103431,24.09940995,4,41.290,,1.473,63,30,31,,
T,2020-07-31 15:44:55.999,56.92103972,24.09943081,4,41.157,,1.467,63,30,30,,
T,2020-07-31 15:44:56.999,56.92104896,24.09945035,3,41.142,,1.469,58,30,30,,
T,2020-07-31 15:44:57.999,56.92105682,24.09947047,3,40.935,,1.470,57,32,32,,
T,2020-07-31 15:44:58.999,56.92106346,24.09949112,3,40.699,,1.461,57,31,31,,
T,2020-07-31 15:44:59.999,56.92107301,24.09951232,3,40.714,,1.457,58,29,29,,
